k	LowerCILambda	UpperCILambda
2	0.332705	6.17459
3	0.746307	7.7781
4	1.24213	9.29101
5	1.79341	10.745
6	2.38524	12.1568
7	3.00833	13.5362
8	3.65648	14.89
9	4.32529	16.2227
10	5.0115	17.5376
11	5.71263	18.8375
12	6.42675	20.1242
13	7.1523	21.3993
14	7.88801	22.6642
15	8.63283	23.9199
16	9.38588	25.1673
17	10.1464	26.4072
18	10.9138	27.6402
19	11.6874	28.8668
20	12.4669	30.0877
21	13.2517	31.3031
22	14.0416	32.5135
23	14.8361	33.7191
24	15.635	34.9205
25	16.438	36.1176
26	17.2449	37.3109
27	18.0554	38.5006
28	18.8693	39.6868
29	19.6865	40.8697
30	20.5069	42.0495
31	21.3301	43.2264
32	22.1562	44.4004
33	22.9849	45.5718
34	23.8162	46.7406
35	24.65	47.9069
36	25.4861	49.0709
37	26.3244	50.2327
38	27.1649	51.3922
39	28.0075	52.5497
40	28.852	53.7053
41	29.6985	54.8588
42	30.5468	56.0106
43	31.3969	57.1605
44	32.2488	58.3088
45	33.1023	59.4553
46	33.9574	60.6003
47	34.814	61.7436
48	35.6722	62.8855
49	36.5319	64.0259
50	37.3929	65.1649
51	38.2554	66.3025
52	39.1191	67.4388
53	39.9842	68.5737
54	40.8505	69.7075
55	41.7181	70.8399
56	42.5868	71.9712
57	43.4567	73.1013
58	44.3278	74.2303
59	45.1999	75.3582
60	46.0732	76.485
61	46.9474	77.6108
62	47.8227	78.7355
63	48.699	79.8593
64	49.5763	80.982
65	50.4545	82.1038
66	51.3336	83.2247
67	52.2137	84.3447
68	53.0946	85.4638
69	53.9764	86.582
70	54.8591	87.6993
71	55.7426	88.8159
72	56.6269	89.9316
73	57.512	91.0465
74	58.3979	92.1606
75	59.2846	93.274
76	60.172	94.3866
77	61.0601	95.4985
78	61.949	96.6096
79	62.8385	97.7201
80	63.7288	98.8298
81	64.6198	99.9389
82	65.5114	101.047
83	66.4037	102.155
84	67.2966	103.262
85	68.1901	104.369
86	69.0843	105.474
87	69.9791	106.58
88	70.8745	107.684
89	71.7705	108.788
90	72.667	109.892
91	73.5642	110.995
92	74.4619	112.097
93	75.3601	113.199
94	76.2589	114.3
95	77.1582	115.401
96	78.0581	116.501
97	78.9585	117.6
98	79.8594	118.7
99	80.7607	119.798
100	81.6626	120.896
101	82.565	121.994
102	83.4679	123.091
103	84.3712	124.188
104	85.275	125.284
105	86.1792	126.38
106	87.0839	127.475
107	87.9891	128.57
108	88.8947	129.664
